,Text,Label
2275,"well not to far at all,,,,,,,,,,,,,,,,",4
2276,"Cool,,,,,,,,,,,,,,,,",4
2277,"Yep,,,,,,,,,,,,,,,,",4
2278,"hmmm,,,,,,,,,,,,,,,,",4
2279,"yup,,,,,,,,,,,,,,,,",4
2280,"yah i hadda bf remember? we went together for like 2 months lol,,,,,,,,,,,,,,,,",3
2281,"Ohhh ok,,,,,,,,,,,,,,,,",4
2282,"LOL,,,,,,,,,,,,,,,,",4
2283,"i am human u know,,,,,,,,,,,,,,,,",4
2284,"wb,,,,,,,,,,,,,,,,",4
2285,"ty,,,,,,,,,,,,,,,,",4
2286,"),,,,,,,,,,,,,,,,",4
2287,"lol,,,,,,,,,,,,,,,,",4
2288,"Me too,,,,,,,,,,,,,,,,",4
2289,"D,,,,,,,,,,,,,,,,",4
2290,"i like the new ones to,,,,,,,,,,,,,,,,",4
2291,"oh will u be on tomorrow?,,,,,,,,,,,,,,,,",4
2292,"kool,,,,,,,,,,,,,,,,",4
2293,"No school?,,,,,,,,,,,,,,,,",4
2294,"no i got skool,,,,,,,,,,,,,,,,",4
2295,"hang on my moms yellin,,,,,,,,,,,,,,,,",6
2296,"I gota spot on my lap shaped just like yer lil butt,,,,,,,,,,,,,,,,",5
2297,"Bet you'd fit nicely,,,,,,,,,,,,,,,,",4
2298,"dont wanna make u wreck,,,,,,,,,,,,,,,,",4
2299,"Have to wait till later,,,,,,,,,,,,,,,,",4
2300,"Have to figure out where you live,,,,,,,,,,,,,,,,",2
2301,"when she goes,,,,,,,,,,,,,,,,",4
2302,"ha! do i hafta come back?,,,,,,,,,,,,,,,,",4
2303,"Nah,,,,,,,,,,,,,,,,",4
2304,"D,,,,,,,,,,,,,,,,",4
2305,"Good,,,,,,,,,,,,,,,,",4
2306,"No hogs,,,,,,,,,,,,,,,,",4
2307,"No, they are loose on the property, they hide their nests,,,,,,,,,,,,,,",4
2308,"u ever think bout where eggs come from?,,,,,,,,,,,,,,,,",4
2309,"I know,,,,,,,,,,,,,,,,",4
2310,"LOl,,,,,,,,,,,,,,,,",4
2311,"its so gross,,,,,,,,,,,,,,,,",4
2312,"Called baloots,,,,,,,,,,,,,,,,",4
2313,"-&,,,,,,,,,,,,,,,,",4
2314,"Good,,,,,,,,,,,,,,,,",4
2315,"kool we can split one,,,,,,,,,,,,,,,,",4
2316,"awww,,,,,,,,,,,,,,,,",4
2317,"Just the little I've seen,,,,,,,,,,,,,,,,",4
2318,"Naaah,,,,,,,,,,,,,,,,",4
2319,"u r!,,,,,,,,,,,,,,,,",4
2320,"how long were u married?,,,,,,,,,,,,,,,,",3
2321,"Waited tiil the kids were older,,,,,,,,,,,,,,,,",4
2322,"still friends?,,,,,,,,,,,,,,,,",4
2323,"want me to quit askin so many questions? lol,,,,,,,,,,,,,,,,",3
2324,"i usualy stay up late but i do think im gonna get off here,,,,,,,,,,,,,,,,",4
2325,"Ok Sweety,,,,,,,,,,,,,,,,",3
2326,"I enjoyed your company,,,,,,,,,,,,,,,,",2
2327,"Yep,,,,,,,,,,,,,,,,",4
2328,"its not this weekend but next,,,,,,,,,,,,,,,,",6
2329,"she comes back sumtime sunday nite but u will prolly be tired,,,,,,,,,,,,,,,,",6
2330,"yay!!,,,,,,,,,,,,,,,,",4
2331,"Thanks,,,,,,,,,,,,,,,,",4
2332,"i didnt tell u ?,,,,,,,,,,,,,,,,",4
2333,"Noo,,,,,,,,,,,,,,,,",4
2334,"i got grounded for like 2 wks,,,,,,,,,,,,,,,,",4
2335,"im stuck in the house n stuff,,,,,,,,,,,,,,,,",3
2336,"Is he?,,,,,,,,,,,,,,,,",4
2337,"Damn,,,,,,,,,,,,,,,,",4
2338,"Maybe he won't last,,,,,,,,,,,,,,,,",4
2339,"he needs to keep his nose outta my biz,,,,,,,,,,,,,,,,",4
2340,"Outta yer boobs too,,,,,,,,,,,,,,,,",5
2341,"he is just icky,,,,,,,,,,,,,,,,",4
2342,"well this guy aint hot for sure,,,,,,,,,,,,,,,,",2
2343,"Not as bossy,,,,,,,,,,,,,,,,",4
2344,"she never drove tho,,,,,,,,,,,,,,,,",4
2345,"i will prolly hafta get a job then to,,,,,,,,,,,,,,,,",4
2346,"Red,,,,,,,,,,,,,,,,",4
2347,"how bout a red one then?,,,,,,,,,,,,,,,,",4
2348,"Cruise the car lots,,,,,,,,,,,,,,,,",4
2349,"yah i wanna do a lot of things as i get older,,,,,,,,,,,,,,,,",2
2350,"LOL,,,,,,,,,,,,,,,,",4
2351,"Just be careful,,,,,,,,,,,,,,,,",4
2352,"bout wat?,,,,,,,,,,,,,,,,",4
2353,"Lotta freaks out there,,,,,,,,,,,,,,,,",4
2354,"well i wouldnt do nething dumb,,,,,,,,,,,,,,,,",4
2355,"Yep,,,,,,,,,,,,,,,,",4
2356,"Last time was college for paramdeic,,,,,,,,,,,,,,,,",4
2357,"From my daughter,,,,,,,,,,,,,,,,",4
2358,"He has no kids,,,,,,,,,,,,,,,,",4
2359,"divorced,,,,,,,,,,,,,,,,",4
2360,"awww,,,,,,,,,,,,,,,,",4
2361,"Got big,,,,,,,,,,,,,,,,",4
2362,"Don't get lazy,,,,,,,,,,,,,,,,",4
2363,"n our family is all kinda lil so hopefully i will stay lil,,,,,,,,,,,,,,,,",4
2364,"idk if i will rlly ever want kids,,,,,,,,,,,,,,,,",3
2365,"yup,,,,,,,,,,,,,,,,",4
2366,"No sharing,,,,,,,,,,,,,,,,",4
2367,"i know!,,,,,,,,,,,,,,,,",4
2368,"i want outta the house,,,,,,,,,,,,,,,,",4
2369,"Damn,,,,,,,,,,,,,,,,",4
2370,"That would suck,,,,,,,,,,,,,,,,",4
2371,"yah i could do that,,,,,,,,,,,,,,,,",4
2372,"i never go tto drive yet,,,,,,,,,,,,,,,,",4
2373,"Scare Gma,,,,,,,,,,,,,,,,",4
2374,"when is urs?,,,,,,,,,,,,,,,,",4
2375,"Yep,,,,,,,,,,,,,,,,",4
2376,"kool u gonna have a big party?,,,,,,,,,,,,,,,,",4
2377,"my mom got a bunch of clothes i wanted,,,,,,,,,,,,,,,,",4
2378,"LOL,,,,,,,,,,,,,,,,",4
2379,"dumb of me,,,,,,,,,,,,,,,,",4
2380,"im gonna ask for one for my bday,,,,,,,,,,,,,,,,",4
2381,"Cool,,,,,,,,,,,,,,,,",4
2382,"Have you own computer?,,,,,,,,,,,,,,,,",4
2383,"Good,,,,,,,,,,,,,,,,",4
2384,"Darn,,,,,,,,,,,,,,,,",4
2385,"i got sick of it,,,,,,,,,,,,,,,,",4
2386,"i aint gonna get serous with neone rite now,,,,,,,,,,,,,,,,",4
2387,"LOL,,,,,,,,,,,,,,,,",4
2388,"i figure iw ill just date around,,,,,,,,,,,,,,,,",3
2389,"Yep, just be careful,,,,,,,,,,,,,,,",4
2390,"i dont do the stuff u need to do to have them,,,,,,,,,,,,,,,,",4
2391,"LOL,,,,,,,,,,,,,,,,",4
2392,"yah he was a sucky kisser,,,,,,,,,,,,,,,,",5
2393,"D,,,,,,,,,,,,,,,,",4
2394,"rlly? would remember? not tryin to soudn stupid,,,,,,,,,,,,,,,,",4
2395,"It's pretty intense,,,,,,,,,,,,,,,,",4
2396,"Wow, most girls have by now,,,,,,,,,,,,,,,",4
2397,"No hurry,,,,,,,,,,,,,,,,",4
2398,"It's easy,,,,,,,,,,,,,,,,",4
2399,"well idk bout that,,,,,,,,,,,,,,,,",4
2400,"Have to be alone,,,,,,,,,,,,,,,,",6
2401,"Ibet,,,,,,,,,,,,,,,,",4
2402,"u rlly think girls my age do that to theirselves?,,,,,,,,,,,,,,,,",4
2403,"Uh huh,,,,,,,,,,,,,,,,",4
2404,"wow,,,,,,,,,,,,,,,,",4
2405,"If you try, keep your fingers out side,,,,,,,,,,,,,,,",4
2406,"wat u mean?,,,,,,,,,,,,,,,,",4
2407,"wow,,,,,,,,,,,,,,,,",4
2408,"yah prtty much i think,,,,,,,,,,,,,,,,",4
2409,"but it didnt like knock me out or nething,,,,,,,,,,,,,,,,",4
2410,"well im not sure he didnt like stick it way deep,,,,,,,,,,,,,,,,",5
2411,"nope,,,,,,,,,,,,,,,,",4
2412,"yeah we ate early,,,,,,,,,,,,,,,,",4
2413,"Nice,,,,,,,,,,,,,,,,",4
2414,"Cool,,,,,,,,,,,,,,,,",4
2415,"Long ride,,,,,,,,,,,,,,,,",4
2416,"about,,,,,,,,,,,,,,,,",4
2417,"well im not a baby,,,,,,,,,,,,,,,,",4
2418,"well i jsut think age is anumber,,,,,,,,,,,,,,,,",4
2419,"Good,,,,,,,,,,,,,,,,",4
2420,"ok,,,,,,,,,,,,,,,,",4
2421,"kool,,,,,,,,,,,,,,,,",4
2422,"that would be kool,,,,,,,,,,,,,,,,",4
2423,"You'd fit nicely,,,,,,,,,,,,,,,,",4
2424,"kool,,,,,,,,,,,,,,,,",4
2425,"Ibet it does smell nice on you,,,,,,,,,,,,,,,,",2
2426,"Told any of your friends about talking with an old guy?,,,,,,,,,,,,,,,,",6
2427,"Good,,,,,,,,,,,,,,,,",4
2428,"Growing up faster than them,,,,,,,,,,,,,,,,",2
2429,"well maybe but i guess i dont care how many beers that gys have n how funny they were all drunk nstuff,,,,,,,,,,,,,,,,",4
2430,"Yep, kid stuff,,,,,,,,,,,,,,,",4
2431,"boys brag lots to,,,,,,,,,,,,,,,,",4
2432,"u r so kool,,,,,,,,,,,,,,,,",4
2433,"I'm a whole woman guy,,,,,,,,,,,,,,,,",4
2434,"well i guess i shoudl get some pics of the whole me,,,,,,,,,,,,,,,,",5
2435,"Cool,,,,,,,,,,,,,,,,",4
2436,"u got one?,,,,,,,,,,,,,,,,",4
2437,"i hope its warm,,,,,,,,,,,,,,,,",4
2438,"yah it prolly will be,,,,,,,,,,,,,,,,",4
2439,"You'd look good in the cobra,,,,,,,,,,,,,,,,",4
2440,"Naah,,,,,,,,,,,,,,,,",4
2441,"thanks,,,,,,,,,,,,,,,,",4
2442,"u know im gonna tease u bout callin u dad lol,,,,,,,,,,,,,,,,",6
2443,"That's ok,,,,,,,,,,,,,,,,",4
2444,"lol,,,,,,,,,,,,,,,,",4
2445,"Just old,,,,,,,,,,,,,,,,",4
2446,"That's why you have to wear shorts or jeans,,,,,,,,,,,,,,,,",4
2447,"geez i cant wait,,,,,,,,,,,,,,,,",4
2448,"glad u aint gonna gimme a lecture or sumthing,,,,,,,,,,,,,,,,",1
2449,"Why would I do that?,,,,,,,,,,,,,,,,",4
2450,"I know I will,,,,,,,,,,,,,,,,",4
2451,"She's cute to,,,,,,,,,,,,,,,,",1
2452,"LOL,,,,,,,,,,,,,,,,",4
2453,"ok,,,,,,,,,,,,,,,,",4
2454,"Ok, need to find dinner too,,,,,,,,,,,,,,,",4
2455,"For sure,,,,,,,,,,,,,,,,",4
2456,"kool,,,,,,,,,,,,,,,,",4
2457,"Bye for now,,,,,,,,,,,,,,,,",0
2458,"Hey cutey,,,,,,,,,,,,,,,,",2
2459,"All clean,,,,,,,,,,,,,,,,",4
2460,"Uh huh,,,,,,,,,,,,,,,,",4
2461,"well i like wat my ole bf wore,,,,,,,,,,,,,,,,",3
2462,"but it was calvin klein i think,,,,,,,,,,,,,,,,",4
2463,"im gonna ask her,,,,,,,,,,,,,,,,",4
2464,"Whoever has the camera,,,,,,,,,,,,,,,,",4
2465,"Cool,,,,,,,,,,,,,,,,",4
2466,"Yep,,,,,,,,,,,,,,,,",4
2467,"omg yea,,,,,,,,,,,,,,,,",4
2468,"i like ur dogs,,,,,,,,,,,,,,,,",4
2469,"ur chicken eh?,,,,,,,,,,,,,,,,",4
2470,"Many more,,,,,,,,,,,,,,,,",4
2471,"wow,,,,,,,,,,,,,,,,",4
2472,"part of my job,,,,,,,,,,,,,,,,",4
2473,"ws it gross?,,,,,,,,,,,,,,,,",4
2474,"Yeah my feelings eaxactly,,,,,,,,,,,,,,,,",4
2475,"Although I can't make any,,,,,,,,,,,,,,,,",4
2476,"Got fixed after that,,,,,,,,,,,,,,,,",4
2477,"well that ok now u wont hafta worry no more,,,,,,,,,,,,,,,,",4
2478,"Yep,,,,,,,,,,,,,,,,",4
2479,"rlly?,,,,,,,,,,,,,,,,",4
2480,"condoms suck,,,,,,,,,,,,,,,,",5
2481,"Ohh,,,,,,,,,,,,,,,,",4
2482,"lol,,,,,,,,,,,,,,,,",4
2483,"D,,,,,,,,,,,,,,,,",4
2484,"u think u will get married again?,,,,,,,,,,,,,,,,",3
2485,"wish i had sum privacy,,,,,,,,,,,,,,,,",4
2486,"You have your room don't you?,,,,,,,,,,,,,,,,",6
2487,"but she comes up whenever she wants when she is home,,,,,,,,,,,,,,,,",4
2488,"yah but if i locked it she would come up more,,,,,,,,,,,,,,,,",4
2489,"lol,,,,,,,,,,,,,,,,",4
2490,"You don't think,,,,,,,,,,,,,,,,",4
2491,"lol,,,,,,,,,,,,,,,,",4
2492,"well it just feels weird,,,,,,,,,,,,,,,,",4
2493,"In excitment,,,,,,,,,,,,,,,,",4
2494,"nah it didnt get like that,,,,,,,,,,,,,,,,",4
2495,"LOL,,,,,,,,,,,,,,,,",4
2496,"and mouth,,,,,,,,,,,,,,,,",4
2497,"He didin't use his lips on you?,,,,,,,,,,,,,,,,",5
2498,"no,,,,,,,,,,,,,,,,",4
2499,"lol yea and no,,,,,,,,,,,,,,,,",4
2500,"lol,,,,,,,,,,,,,,,,",4
2501,"not very long,,,,,,,,,,,,,,,,",4
2502,"Then he quit on you?,,,,,,,,,,,,,,,,",4
2503,"wat r they?,,,,,,,,,,,,,,,,",4
2504,"One is the clitoris,,,,,,,,,,,,,,,,",5
2505,""" The other is the """"G"""" spot just inside"",,,,,,,,,,,,,,,,",5
2506,"yup,,,,,,,,,,,,,,,,",4
2507,"yah,,,,,,,,,,,,,,,,",4
2508,"k,,,,,,,,,,,,,,,,",4
2509,"wow,,,,,,,,,,,,,,,,",4
2510,"lol u rlly do know lots,,,,,,,,,,,,,,,,",2
2511,"hang on,,,,,,,,,,,,,,,,",0
2512,"Oh well you'll find the right guy,,,,,,,,,,,,,,,,",2
2513,"lol well i mite if i get the nerve,,,,,,,,,,,,,,,,",4
2514,"D,,,,,,,,,,,,,,,,",4
2515,"u bein serious?,,,,,,,,,,,,,,,,",4
2516,"If you want,,,,,,,,,,,,,,,,",4
2517,"If our sure,,,,,,,,,,,,,,,,",4
2518,"well i know i dont want to be with an immature guy again,,,,,,,,,,,,,,,,",6
2519,"Waste of time,,,,,,,,,,,,,,,,",4
2520,"Nope,,,,,,,,,,,,,,,,",4
2521,"Beautiful girl,,,,,,,,,,,,,,,,",2
2522,"ty,,,,,,,,,,,,,,,,",4
2523,"well they try to sumtimes,,,,,,,,,,,,,,,,",4
2524,"but aint found neone i like that much,,,,,,,,,,,,,,,,",3
2525,"well im not totally comfy with sum of them,,,,,,,,,,,,,,,,",4
2526,"i am,,,,,,,,,,,,,,,,",4
2527,"Good,,,,,,,,,,,,,,,,",4
2528,"idk u just seem diff or sumthing,,,,,,,,,,,,,,,,",4
2529,"I'll be your first from here?,,,,,,,,,,,,,,,,",4
2530,"LOl,,,,,,,,,,,,,,,,",4
2531,"Good,,,,,,,,,,,,,,,,",4
2532,"You outa beg ouut grounding this weekend,,,,,,,,,,,,,,,,",4
2533,"If not next weekend, then soon,,,,,,,,,,,,,,,",2
2534,"Maybe after school one day,,,,,,,,,,,,,,,,",2
2535,"I will,,,,,,,,,,,,,,,,",4
2536,"well i mite have a big pimple or sumthing when we meet,,,,,,,,,,,,,,,,",3
2537,"i liek how u act,,,,,,,,,,,,,,,,",3
2538,"i just hope i can tget sum,,,,,,,,,,,,,,,,",4
2539,"cauz i would feel weird it was like all medical n stuff,,,,,,,,,,,,,,,,",4
2540,"cauz it woudl be like goin to a doc otherwise,,,,,,,,,,,,,,,,",4
2541,"well i would be a lil worried,,,,,,,,,,,,,,,,",4
2542,"Nothing you could do,,,,,,,,,,,,,,,,",4
2543,"Naah, don't be,,,,,,,,,,,,,,,",4
2544,"Cmere,,,,,,,,,,,,,,,,",4
2545,"Bet that would feel good to have you snuggled up,,,,,,,,,,,,,,,,",1
2546,"Uh huh,,,,,,,,,,,,,,,,",4
2547,"Like that?,,,,,,,,,,,,,,,,",4
2548,"yah but sumtimes he gotta lil ruff,,,,,,,,,,,,,,,,",4
2549,"Hmmm,,,,,,,,,,,,,,,,",4
2550,"Yes,,,,,,,,,,,,,,,,",4
2551,"i gotta dumb question,,,,,,,,,,,,,,,,",4
2552,"k just wondered,,,,,,,,,,,,,,,,",4
2553,"well a lot curious,,,,,,,,,,,,,,,,",4
2554,"real big?,,,,,,,,,,,,,,,,",4
2555,"Can you seeit if you look?,,,,,,,,,,,,,,,,",4
2556,"It has a littl od lie over it,,,,,,,,,,,,,,,,",4
2557,"little hood,,,,,,,,,,,,,,,,",4
2558,"Then kiss it and take in your lips,,,,,,,,,,,,,,,,",5
2559,"u mean under the lil hood?,,,,,,,,,,,,,,,,",4
2560,"D,,,,,,,,,,,,,,,,",4
2561,"Get thrown out of the mall,,,,,,,,,,,,,,,,",4
2562,"does it make u uncomfy to talk bout it,,,,,,,,,,,,,,,,",2
2563,"Nope,,,,,,,,,,,,,,,,",4
2564,"k,,,,,,,,,,,,,,,,",4
2565,"You?,,,,,,,,,,,,,,,,",4
2566,"no its kool,,,,,,,,,,,,,,,,",4
2567,"i mean u cant ask ur teacher the details,,,,,,,,,,,,,,,,",4
2568,"yah,,,,,,,,,,,,,,,,",4
2569,"You're fine,,,,,,,,,,,,,,,,",4
2570,"Nope,,,,,,,,,,,,,,,,",4
2571,"well i got lots of questions but imnot gonna ask em lol,,,,,,,,,,,,,,,,",2
2572,"nah,,,,,,,,,,,,,,,,",4
2573,"that would be rlly nice,,,,,,,,,,,,,,,,",4
2574,"not to just be all grabby n stuff,,,,,,,,,,,,,,,,",4
2575,"that sounds nice,,,,,,,,,,,,,,,,",4
2576,"Eever had your ears kissed?,,,,,,,,,,,,,,,,",5
2577,"wow,,,,,,,,,,,,,,,,",4
2578,"lol i bet u know all kinds of stuff to do,,,,,,,,,,,,,,,,",4
2579,"No marks though,,,,,,,,,,,,,,,,",4
2580,"ugly,,,,,,,,,,,,,,,,",4
2581,"You never tried to have sex with him?,,,,,,,,,,,,,,,,",5
2582,"no,,,,,,,,,,,,,,,,",4
2583,"Oh,,,,,,,,,,,,,,,,",4
2584,"aint fair lol,,,,,,,,,,,,,,,,",4
2585,"yah i gotta get the real lil ones,,,,,,,,,,,,,,,,",4
2586,"You can use your fingers to strertch yourslf a bit,,,,,,,,,,,,,,,,",5
2587,"rlly?,,,,,,,,,,,,,,,,",4
2588,"LOL,,,,,,,,,,,,,,,,",4
2589,"If you can get twofingers in, the first time won't hur much at all,,,,,,,,,,,,,,,",5
2590,"brb gtp,,,,,,,,,,,,,,,,",4
2591,"lol it just feels funny to think bout doing stuff to urself,,,,,,,,,,,,,,,,",4
2592,"Star on the outside first then when you get wet try a finger,,,,,,,,,,,,,,,,",5
2593,"D,,,,,,,,,,,,,,,,",4
2594,"u can find it that easy?,,,,,,,,,,,,,,,,",4
2595,"Yep,,,,,,,,,,,,,,,,",4
2596,"k,,,,,,,,,,,,,,,,",4
2597,"Girls are very gentle with each other,,,,,,,,,,,,,,,,",4
2598,"Uh huh,,,,,,,,,,,,,,,,",4
2599,"umm and just how do u know them hmmmm?,,,,,,,,,,,,,,,,",4
2600,"If you do, you'll thank me forever,,,,,,,,,,,,,,,",1
2601,"lol i bet,,,,,,,,,,,,,,,,",4
2602,"well im kinda tingly,,,,,,,,,,,,,,,,",5
2603,"yah as long as it aint hard,,,,,,,,,,,,,,,,",4
2604,"me to,,,,,,,,,,,,,,,,",4
2605,"i know it!!,,,,,,,,,,,,,,,,",4
2606,"LOL,,,,,,,,,,,,,,,,",4
2607,"i took up lots of ur time tonite,,,,,,,,,,,,,,,,",3
2608,"me to,,,,,,,,,,,,,,,,",4
2609,"Ok Lindsey,,,,,,,,,,,,,,,,",4
2610,"Gonna try a little?,,,,,,,,,,,,,,,,",4
2611,"LOL good night sweety,,,,,,,,,,,,,,,,",0
2612,"k,,,,,,,,,,,,,,,,",4
2613,"Heey,,,,,,,,,,,,,,,,",4
2614,"no i got sick,,,,,,,,,,,,,,,,",4
2615,"i laid down n fell alseep,,,,,,,,,,,,,,,,",4
2616,"yah but didnt get to talk to her,,,,,,,,,,,,,,,,",4
2617,"it was a weird day at askool and i just felt crappy all day,,,,,,,,,,,,,,,,",2
2618,"Sorry Sweety,,,,,,,,,,,,,,,,",1
2619,"well i will try to on monday or mebbe i will call her this weekend,,,,,,,,,,,,,,,,",0
2620,"u know when u feel crappy how everyhing is like in kinda slow motion?,,,,,,,,,,,,,,,,",4
2621,"Taking anything?,,,,,,,,,,,,,,,,",4
2622,"just sum cold stuff,,,,,,,,,,,,,,,,",4
2623,"nooo i didnt do nething lol,,,,,,,,,,,,,,,,",4
2624,"LOL,,,,,,,,,,,,,,,,",4
2625,"i think most guys do,,,,,,,,,,,,,,,,",4
2626,"Most all girls too,,,,,,,,,,,,,,,,",4
2627,"wow,,,,,,,,,,,,,,,,",4
2628,"Mom working tonight?,,,,,,,,,,,,,,,,",6
2629,"Either, or both,,,,,,,,,,,,,,,",4
2630,"if i didnt feel icky tonite i would try it when i went to bed,,,,,,,,,,,,,,,,",4
2631,"Thinking about it now huh?,,,,,,,,,,,,,,,,",4
2632,"Ok,,,,,,,,,,,,,,,,",4
2633,"well but it wont be in person,,,,,,,,,,,,,,,,",4
2634,"True,,,,,,,,,,,,,,,,",4
2635,"well thats true to,,,,,,,,,,,,,,,,",4
2636,"do u make noises?,,,,,,,,,,,,,,,,",4
2637,"LOL, sometimes,,,,,,,,,,,,,,,",4
2638,"did ur gfs?,,,,,,,,,,,,,,,,",4
2639,"did u mind that?,,,,,,,,,,,,,,,,",4
2640,"yah he moaned n stuff,,,,,,,,,,,,,,,,",5
2641,"Did you pull of, or just let him go?,,,,,,,,,,,,,,,",4
2642,"Did you like it?,,,,,,,,,,,,,,,,",4
2643,"but it wasnt horrible,,,,,,,,,,,,,,,,",4
2644,"lol no,,,,,,,,,,,,,,,,",4
2645,"Ibet,,,,,,,,,,,,,,,,",4
2646,"Yeah, but you gotta make it last,,,,,,,,,,,,,,,",4
2647,"oooops,,,,,,,,,,,,,,,,",4
2648,"lLOL,,,,,,,,,,,,,,,,",4
2649,"Nope,,,,,,,,,,,,,,,,",4
2650,"for sure,,,,,,,,,,,,,,,,",4
2651,"we could find a private spot on the beach,,,,,,,,,,,,,,,,",2
2652,"More private,,,,,,,,,,,,,,,,",4
2653,"he better not,,,,,,,,,,,,,,,,",4
2654,"Better to meet you somewhere and drive,,,,,,,,,,,,,,,,",0
2655,"Mall or anything close?,,,,,,,,,,,,,,,,",4
2656,"Cool,,,,,,,,,,,,,,,,",4
2657,"Really?,,,,,,,,,,,,,,,,",4
2658,"Lotta cops out on the net,,,,,,,,,,,,,,,,",6
2659,"im not one,,,,,,,,,,,,,,,,",4
2660,"sigh y would u even think that?,,,,,,,,,,,,,,,,",4
2661,"and im gonna send more,,,,,,,,,,,,,,,,",2
2662,"Can't wait to see more,,,,,,,,,,,,,,,,",4
2663,"Great,,,,,,,,,,,,,,,,",4
2664,"D,,,,,,,,,,,,,,,,",4
2665,"),,,,,,,,,,,,,,,,",4
2666,"ok,,,,,,,,,,,,,,,,",4
2667,"Bet you look great in them,,,,,,,,,,,,,,,,",2
2668,"tx,,,,,,,,,,,,,,,,",4
2669,"wanna make u happy,,,,,,,,,,,,,,,,",1
2670,"i like you too,,,,,,,,,,,,,,,,",3
2671,"LOL,,,,,,,,,,,,,,,,",4
2672,"Com on,,,,,,,,,,,,,,,,",4
2673,"lol,,,,,,,,,,,,,,,,",4
2674,"We';; try,,,,,,,,,,,,,,,,",4
2675,"You look older,,,,,,,,,,,,,,,,",4
2676,"lol well i hope u like them,,,,,,,,,,,,,,,,",4
2677,"nice butt too I bet,,,,,,,,,,,,,,,,",5
2678,"i know u r a butt man,,,,,,,,,,,,,,,,",5
2679,"goes to greg,,,,,,,,,,,,,,,,",4
2680,"me to,,,,,,,,,,,,,,,,",4
2681,"i hope so,,,,,,,,,,,,,,,,",4
2682,"uh huh,,,,,,,,,,,,,,,,",4
2683,"Yep,,,,,,,,,,,,,,,,",4
2684,"Well start stretching yourself a little,,,,,,,,,,,,,,,,",4
2685,"wel lim ite,,,,,,,,,,,,,,,,",4
2686,"well i mite this weekend,,,,,,,,,,,,,,,,",4
2687,"You'll like it,,,,,,,,,,,,,,,,",4
2688,"Darn,,,,,,,,,,,,,,,,",4
2689,"She working tomorrow?,,,,,,,,,,,,,,,,",2
2690,"i think ig ot wat she had yesterday,,,,,,,,,,,,,,,,",4
2691,"yah i have to til monday,,,,,,,,,,,,,,,,",4
2692,"Well,,,,,,,,,,,,,,,,",4
2693,"she goes in a 7,,,,,,,,,,,,,,,,",4
2694,"yah it sux,,,,,,,,,,,,,,,,",4
2695,"Maybe I can call you,,,,,,,,,,,,,,,,",2
2696,"Ok,,,,,,,,,,,,,,,,",4
2697,"Cool,,,,,,,,,,,,,,,,",4
2698,"yah so it wont show up or nething on the bill,,,,,,,,,,,,,,,,",4
2699,"If you don't goto school tomorrow wanna call?,,,,,,,,,,,,,,,,",2
2700,"Cool,,,,,,,,,,,,,,,,",4
2701,"Yep,,,,,,,,,,,,,,,,",4
2702,"i feel like a prisoner neways,,,,,,,,,,,,,,,,",3
2703,"Darn,,,,,,,,,,,,,,,,",4
2704,"yah it sux,,,,,,,,,,,,,,,,",4
2705,"lol,,,,,,,,,,,,,,,,",4
2706,"Ohhh yes,,,,,,,,,,,,,,,,",4
2707,"Till you get tired of me,,,,,,,,,,,,,,,,",4
2708,"i dotn think i will,,,,,,,,,,,,,,,,",4
2709,"Cool,,,,,,,,,,,,,,,,",4
2710,"Yep,,,,,,,,,,,,,,,,",4
2711,"yup,,,,,,,,,,,,,,,,",4
2712,"A young beauty like you being interested in me,,,,,,,,,,,,,,,,",3
2713,"awww,,,,,,,,,,,,,,,,",4
2714,"Can't wait to kiss that lil face,,,,,,,,,,,,,,,,",5
2715,"kool,,,,,,,,,,,,,,,,",4
2716,"Other places too,,,,,,,,,,,,,,,,",4
2717,"u always say that,,,,,,,,,,,,,,,,",4
2718,"We'll just take our time,,,,,,,,,,,,,,,,",4
2719,"Do nothing that bothers you,,,,,,,,,,,,,,,,",4
2720,"kool,,,,,,,,,,,,,,,,",4
2721,"awww,,,,,,,,,,,,,,,,",4
2722,"y will ube nervous?,,,,,,,,,,,,,,,,",4
2723,"Nothing that would upset me, Imean,,,,,,,,,,,,,,,",4
2724,"but it's diffrent,,,,,,,,,,,,,,,,",4
2725,"Nooo, we have to take our time,,,,,,,,,,,,,,,",4
2726,"LOl, that would hurt,,,,,,,,,,,,,,,",4
2727,"lol,,,,,,,,,,,,,,,,",4
2728,"Have to takeit slow,,,,,,,,,,,,,,,,",4
2729,"I'm glad you like me too,,,,,,,,,,,,,,,,",3
2730,"aww ty,,,,,,,,,,,,,,,,",4
2731,"Just wanna grab you up,,,,,,,,,,,,,,,,",5
2732,"Kiss your ears and neck,,,,,,,,,,,,,,,,",5
2733,"Be exciting,,,,,,,,,,,,,,,,",4
2734,"u do make me excited,,,,,,,,,,,,,,,,",2
2735,"Yell when you get home, if you want,,,,,,,,,,,,,,,",4
2736,"Feeling better?,,,,,,,,,,,,,,,,",4
2737,"well a lil bit but not much,,,,,,,,,,,,,,,,",4
2738,"so how was ur day?,,,,,,,,,,,,,,,,",2
2739,"Hard and long,,,,,,,,,,,,,,,,",4
2740,"LOL,,,,,,,,,,,,,,,,",4
2741,"How was class?,,,,,,,,,,,,,,,,",3
2742,"Darn,,,,,,,,,,,,,,,,",4
